Ranking,Name,Position,ClubCode,Nationality,DOB,Contract Expiry,Value,weekly Salary,Goals,Goal Bonus,Sponsor
30,Ashley Cole,Defender,CHE,England,20/12/1980,01/06/2016,5000000,70000,0,1000,No
31,Wayne Rooney,Forward,MUT,England,24/10/1985,01/06/2016,27000000,150000,24,3000,No
32,Juan Mata,Midfielder,CHE,Spain,28/04/1988,01/06/2019,22000000,120000,10,5000.5,No
33,Thomas Muller,Forward,BAM,Germany,13/09/1989,01/06/2017,25000000,130000,19,6000,No
35,Karim Benzema,Forward,RMA,France,19/12/1987,01/06/2017,20000000,90000,22,1000,No
36,Cesc Fabregas,Midfielder,BAR,Spain,04/04/1987,01/06/2016,36000000,120000,12,1000.1,No
37,Oscar,Midfielder,CHE,Brazil,03/10/1993,01/06/2016,15000000,130000,0,1000,No
39,Javier Mascherano,Midfielder,BAR,Argentina,08/06/1984,01/06/2017,12000000,110000,0,6000.75,No
43,Dani Alves,Defender,BAR,Brazil,06/05/1983,01/06/2016,23000000,160000,1,5000.5,Yes
44,Petr Cech,Goalkeeper,CHE,Czech Republic,20/05/1982,01/06/2019,22000000,110000,0,6000,No
46,Carles Puyol,Defender,BAR,Spain,13/04/1978,01/06/2017,5000000,150000,0,1000,No
47,Angel Di Maria,Midfielder,RMA,Argentina,14/02/1988,01/06/2017,20000000,90000,2,1000.1,No
48,Carlos Tevez,Forward,MCI,Argentina,05/12/1984,01/06/2016,18000000,100000,16,1000,No
50,Giorgio Chiellini,Defender,JUV,Italy,14/08/1984,01/06/2019,8000000,60000,0,1000.1,No
51,Marcelo,Defender,RMA,Brazil,12/05/1988,01/06/2017,20000000,80000,0,1000,No
53,Toni Kroos,Midfielder,BAM,Germany,04/01/1990,01/06/2019,29000000,66000,12,2000,Yes
55,Jordi Alba,Midfielder,BAR,Spain,21/03/1989,01/06/2016,24000000,80000,2,6000.75,No
56,Mario Gomez,Forward,BAM,Germany,10/07/1985,01/06/2016,30000000,120000,12,2000,No
57,Arturo Vidal,Midfielder,JUV,Chile,22/05/1987,01/06/2017,35000000,50000,7,1000,No
58,Eden Hazard,Midfielder,CHE,Belgium,07/01/1991,01/06/2017,35000000,160000,12,5000.5,No
61,Ramires,Midfielder,CHE,Brazil,24/03/1987,01/06/2016,17000000,120000,0,6000,No
62,David Villa,Forward,BAR,Spain,03/12/1981,01/06/2016,5000000,80000,22,6000.75,No
64,Nemanja Vidic,Defender,MUT,Serbia,21/10/1981,01/06/2019,7000000,122000,2,1000.1,No
65,Joe Hart,Goalkeeper,MCI,England,19/04/1987,01/06/2017,8000000,60000,0,1000,No
66,Arjen Robben,Midfielder,BAM,Netherlands,23/01/1984,01/06/2016,19000000,120000,13,2000,No
67,Mario Balotelli,Forward,MCI,Italy,12/08/1990,01/06/2016,20000000,140000,17,4000,No
72,Pedro,Forward,BAR,Spain,03/10/1989,01/06/2019,17000000,140000,19,6000.75,No
73,Santi Cazorla,Midfielder,ARS,Spain,13/12/1984,01/06/2016,16000000,70000,1,1000,No
77,Mario Mandžuki,Forward,BAM,Croatia,29/05/1986,01/06/2017,24000000,50000,15,2000,Yes
78,Patrice Evra,Defender,MUT,France,15/05/1981,01/06/2016,7000000,80000,4,6000.75,Yes
79,David Luiz,Defender,CHE,Brazil,22/04/1987,01/06/2016,25000000,110000,1,1000,No
80,Luka Modric,Midfielder,RMA,Croatia,09/09/1985,01/06/2019,22000000,80000,2,1000.9,No
86,John Terry,Defender,CHE,England,07/12/1980,01/06/2016,4000000,130000,2,1000.9,No
87,Kwadwo Asamoah,Midfielder,JUV,Ghana,09/12/1988,01/06/2017,7000000,80000,2,1000.9,Yes
88,Leonardo Bonucci,Defender,JUV,Italy,01/05/1987,01/06/2019,9000000,80000,2,1000,No
93,Samir Nasri,Midfielder,MCI,France,26/06/1987,01/06/2016,24000000,130000,12,3000,No
94,Shinji Kagawa,Midfielder,MUT,Japan,17/03/1989,01/06/2017,17000000,80000,2,1000,Yes
96,Pepe,Defender,RMA,Portugal,26/02/1983,01/06/2019,27000000,80000,1,1000,No
